2024-01-14 02:33:02,618 INFO    MainThread:41648 [wandb_setup.py:_flush():69] setting env: {'project': 'exercise_14', 'run_group': 'dev'}
2024-01-14 02:33:02,619 INFO    MainThread:41648 [wandb_setup.py:_flush():69] setting login settings: {}
2024-01-14 02:33:02,619 INFO    MainThread:41648 [wandb_init.py:_log_setup():334] Logging user logs to /Users/jchan/Documents/projects/udacity/genre_classification/download/wandb/run-20240114_023302-hvgugsl8/logs/debug.log
2024-01-14 02:33:02,619 INFO    MainThread:41648 [wandb_init.py:_log_setup():335] Logging internal logs to /Users/jchan/Documents/projects/udacity/genre_classification/download/wandb/run-20240114_023302-hvgugsl8/logs/debug-internal.log
2024-01-14 02:33:02,619 INFO    MainThread:41648 [wandb_init.py:init():367] calling init triggers
2024-01-14 02:33:02,619 INFO    MainThread:41648 [wandb_init.py:init():372] wandb.init called with sweep_config: {}
config: {}
2024-01-14 02:33:02,619 INFO    MainThread:41648 [wandb_init.py:init():416] starting backend
2024-01-14 02:33:02,619 INFO    MainThread:41648 [backend.py:_multiprocessing_setup():69] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2024-01-14 02:33:02,656 INFO    MainThread:41648 [backend.py:ensure_launched():123] starting backend process...
2024-01-14 02:33:02,660 INFO    MainThread:41648 [backend.py:ensure_launched():127] started backend process with pid: 41685
2024-01-14 02:33:02,661 INFO    MainThread:41648 [wandb_init.py:init():421] backend started and connected
2024-01-14 02:33:02,662 INFO    MainThread:41648 [wandb_init.py:init():461] updated telemetry
2024-01-14 02:33:02,663 INFO    MainThread:41648 [wandb_init.py:init():480] communicating current version
2024-01-14 02:33:03,015 INFO    MainThread:41648 [wandb_init.py:init():485] got version response upgrade_message: "wandb version 0.16.2 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2024-01-14 02:33:03,015 INFO    MainThread:41648 [wandb_init.py:init():493] communicating run to backend with 30 second timeout
2024-01-14 02:33:03,347 INFO    MainThread:41648 [wandb_init.py:init():518] starting run threads in backend
2024-01-14 02:33:03,395 INFO    MainThread:41648 [wandb_run.py:_console_start():1476] atexit reg
2024-01-14 02:33:03,396 INFO    MainThread:41648 [wandb_run.py:_redirect():1339] redirect: SettingsConsole.REDIRECT
2024-01-14 02:33:03,396 INFO    MainThread:41648 [wandb_run.py:_redirect():1344] Redirecting console.
2024-01-14 02:33:03,396 INFO    MainThread:41648 [redirect.py:install():213] install start
2024-01-14 02:33:03,396 INFO    MainThread:41648 [redirect.py:install():228] install stop
2024-01-14 02:33:03,396 INFO    MainThread:41648 [redirect.py:install():213] install start
2024-01-14 02:33:03,396 INFO    MainThread:41648 [redirect.py:install():228] install stop
2024-01-14 02:33:03,396 INFO    MainThread:41648 [wandb_run.py:_redirect():1390] Redirects installed.
2024-01-14 02:33:03,396 INFO    MainThread:41648 [wandb_init.py:init():542] run started, returning control to user process
2024-01-14 02:33:05,796 INFO    MainThread:41648 [wandb_run.py:finish():1135] finishing run jeffc00/exercise_14/hvgugsl8
