2024-01-14 08:46:44,305 INFO    MainThread:54991 [wandb_setup.py:_flush():69] setting env: {'project': 'exercise_14', 'run_group': 'dev'}
2024-01-14 08:46:44,306 INFO    MainThread:54991 [wandb_setup.py:_flush():69] setting login settings: {}
2024-01-14 08:46:44,306 INFO    MainThread:54991 [wandb_init.py:_log_setup():334] Logging user logs to /Users/jchan/Documents/projects/udacity/genre_classification/download/wandb/run-20240114_084644-z038nmxy/logs/debug.log
2024-01-14 08:46:44,306 INFO    MainThread:54991 [wandb_init.py:_log_setup():335] Logging internal logs to /Users/jchan/Documents/projects/udacity/genre_classification/download/wandb/run-20240114_084644-z038nmxy/logs/debug-internal.log
2024-01-14 08:46:44,306 INFO    MainThread:54991 [wandb_init.py:init():367] calling init triggers
2024-01-14 08:46:44,306 INFO    MainThread:54991 [wandb_init.py:init():372] wandb.init called with sweep_config: {}
config: {}
2024-01-14 08:46:44,306 INFO    MainThread:54991 [wandb_init.py:init():416] starting backend
2024-01-14 08:46:44,307 INFO    MainThread:54991 [backend.py:_multiprocessing_setup():69] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2024-01-14 08:46:44,322 INFO    MainThread:54991 [backend.py:ensure_launched():123] starting backend process...
2024-01-14 08:46:44,325 INFO    MainThread:54991 [backend.py:ensure_launched():127] started backend process with pid: 55010
2024-01-14 08:46:44,326 INFO    MainThread:54991 [wandb_init.py:init():421] backend started and connected
2024-01-14 08:46:44,327 INFO    MainThread:54991 [wandb_init.py:init():461] updated telemetry
2024-01-14 08:46:44,327 INFO    MainThread:54991 [wandb_init.py:init():480] communicating current version
2024-01-14 08:46:44,868 INFO    MainThread:54991 [wandb_init.py:init():485] got version response upgrade_message: "wandb version 0.16.2 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2024-01-14 08:46:44,869 INFO    MainThread:54991 [wandb_init.py:init():493] communicating run to backend with 30 second timeout
2024-01-14 08:46:45,269 INFO    MainThread:54991 [wandb_init.py:init():518] starting run threads in backend
2024-01-14 08:46:45,307 INFO    MainThread:54991 [wandb_run.py:_console_start():1476] atexit reg
2024-01-14 08:46:45,307 INFO    MainThread:54991 [wandb_run.py:_redirect():1339] redirect: SettingsConsole.REDIRECT
2024-01-14 08:46:45,307 INFO    MainThread:54991 [wandb_run.py:_redirect():1344] Redirecting console.
2024-01-14 08:46:45,307 INFO    MainThread:54991 [redirect.py:install():213] install start
2024-01-14 08:46:45,308 INFO    MainThread:54991 [redirect.py:install():228] install stop
2024-01-14 08:46:45,308 INFO    MainThread:54991 [redirect.py:install():213] install start
2024-01-14 08:46:45,308 INFO    MainThread:54991 [redirect.py:install():228] install stop
2024-01-14 08:46:45,308 INFO    MainThread:54991 [wandb_run.py:_redirect():1390] Redirects installed.
2024-01-14 08:46:45,308 INFO    MainThread:54991 [wandb_init.py:init():542] run started, returning control to user process
2024-01-14 08:46:48,577 INFO    MainThread:54991 [wandb_run.py:finish():1135] finishing run jeffc00/exercise_14/z038nmxy
